Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 112.5 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.71588431232347 at t = 14400.0 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    42750.0     0.1049681     |46.5006362    |53.3943957         0.098592377   |46.4577387    |53.443669     |100           
    42862.5     0.103090349   |46.3919572    |53.5049524         0.0968127148  |46.3489344    |53.5542529    |100           
    42975.0     0.10124619    |46.2835031    |53.6152507         0.0950651768  |46.2403569    |53.6645779    |100           
    43087.5     0.0994350202  |46.1752739    |53.7252911         0.0933491831  |46.1320064    |53.7746444    |100           
    43200.0     0.09765625    |46.0672697    |53.8350741         0.0916641642  |46.0238828    |53.8844531    |100           
    43312.5     0.0959092998  |45.9594904    |53.9446003         0.0900095612  |45.9159861    |53.9940043    |100           
    43425.0     0.0941936005  |45.8519362    |54.0538702         0.0883848249  |45.8083164    |54.1032987    |100           
    43537.5     0.0925085929  |45.744607     |54.1628844         0.0867894162  |45.7008737    |54.2123369    |100           
    43650.0     0.0908537279  |45.6375029    |54.2716434         0.0852228059  |45.5936579    |54.3211193    |100           
    43762.5     0.0892284665  |45.5306239    |54.3801477         0.0836844739  |45.4866691    |54.4296464    |100           
    43875.0     0.0876322791  |45.4239699    |54.4883978         0.0821739099  |45.3799071    |54.537919     |100           
    43987.5     0.0860646454  |45.317541     |54.5963944         0.0806906127  |45.273372     |54.6459373    |100           
    44100.0     0.0845250548  |45.2113371    |54.7041379         0.07923409    |45.1670638    |54.7537021    |100           
    44212.5     0.0830130056  |45.1053581    |54.8116289         0.0778038586  |45.0609822    |54.8612139    |100           
    44325.0     0.081528005   |44.9996042    |54.9188678         0.0763994439  |44.9551274    |54.9684731    |100           
    44437.5     0.0800695693  |44.8940751    |55.0258553         0.0750203798  |44.8494992    |55.0754804    |100           
    44550.0     0.0786372232  |44.7887709    |55.1325919         0.0736662089  |44.7440975    |55.1822363    |100           
    44662.5     0.0772305001  |44.6836914    |55.2390781         0.0723364816  |44.6389223    |55.2887412    |100           
    44775.0     0.0758489414  |44.5788366    |55.3453144         0.071030757   |44.5339734    |55.3949959    |100           
    44887.5     0.0744920972  |44.4742064    |55.4513015         0.0697486015  |44.4292507    |55.5010007    |100           
    45000.0     0.0731595252  |44.3698008    |55.5570397         0.0684895899  |44.3247542    |55.6067562    |100           
    45112.5     0.0718507913  |44.2656195    |55.6625297         0.0672533043  |44.2204837    |55.712263     |100           
    45225.0     0.0705654691  |44.1616626    |55.7677719         0.0660393346  |44.1164391    |55.8175216    |100           
    45337.5     0.0693031397  |44.0579298    |55.872767          0.0648472778  |44.0126202    |55.9225325    |100           
    45450.0     0.0680633918  |43.9544211    |55.9775155         0.0636767386  |43.9090269    |56.0272963    |100           
    45562.5     0.0668458214  |43.8511364    |56.0820178         0.0625273284  |43.8056591    |56.1318136    |100           
    45675.0     0.0656500319  |43.7480755    |56.1862745         0.0613986658  |43.7025166    |56.2360847    |100           
    45787.5     0.0644756336  |43.6452382    |56.2902862         0.0602903764  |43.5995992    |56.3401104    |100           
    45900.0     0.0633222439  |43.5426244    |56.3940534         0.0592020925  |43.4969068    |56.4438911    |100           
    46012.5     0.0621894868  |43.440234     |56.4975765         0.0581334528  |43.3944392    |56.5474274    |100           
    46125.0     0.0610769934  |43.3380668    |56.6008562         0.0570841028  |43.2921962    |56.6507197    |100           
    46237.5     0.0599844012  |43.2361226    |56.703893          0.0560536944  |43.1901776    |56.7537687    |100           
    46350.0     0.058911354   |43.1344012    |56.8066874         0.0550418855  |43.0883833    |56.8565749    |100           
    46462.5     0.0578575024  |43.0329025    |56.90924           0.0540483405  |42.986813     |56.9591387    |100           
    46575.0     0.0568225029  |42.9316263    |57.0115512         0.0530727297  |42.8854665    |57.0614608    |100           
    46687.5     0.0558060182  |42.8305724    |57.1136216         0.0521147294  |42.7843437    |57.1635416    |100           
    46800.0     0.0548077172  |42.7297406    |57.2154517         0.0511740216  |42.6834442    |57.2653818    |100           
    46912.5     0.0538272746  |42.6291306    |57.3170421         0.0502502943  |42.582768     |57.3669817    |100           
    47025.0     0.0528643709  |42.5287424    |57.4183932         0.0493432409  |42.4823147    |57.468342     |100           
    47137.5     0.0519186923  |42.4285756    |57.5195057         0.0484525605  |42.3820842    |57.5694632    |100           
    47250.0     0.0509899308  |42.3286301    |57.62038           0.0475779575  |42.2820762    |57.6703459    |100           
    47362.5     0.0500777837  |42.2289055    |57.7210167         0.0467191417  |42.1822904    |57.7709905    |100           
    47475.0     0.0491819537  |42.1294018    |57.8214162         0.0458758281  |42.0827267    |57.8713975    |100           
    47587.5     0.0483021491  |42.0301187    |57.9215792         0.0450477369  |41.9833847    |57.9715676    |100           
    47700.0     0.0474380831  |41.9310558    |58.0215061         0.0442345934  |41.8842642    |58.0715012    |100           
    47812.5     0.0465894741  |41.8322131    |58.1211974         0.0434361277  |41.785365     |58.1711988    |100           
    47925.0     0.0457560458  |41.7335902    |58.2206538         0.0426520748  |41.6866868    |58.2706611    |100           
    48037.5     0.0449375264  |41.6351868    |58.3198756         0.0418821747  |41.5882294    |58.3698885    |100           
    48150.0     0.0441336493  |41.5370028    |58.4188635         0.0411261718  |41.4899924    |58.4688815    |100           
    48262.5     0.0433441526  |41.4390379    |58.517618          0.0403838153  |41.3919755    |58.5676406    |100           
    48375.0     0.0425687791  |41.3412918    |58.6161395         0.0396548588  |41.2941786    |58.6661665    |100           
    48487.5     0.041807276   |41.2437642    |58.7144286         0.0389390606  |41.1966014    |58.7644596    |100           
    48600.0     0.0410593953  |41.1464548    |58.8124858         0.0382361829  |41.0992434    |58.8625204    |100           
    48712.5     0.0403248932  |41.0493635    |58.9103116         0.0375459928  |41.0021045    |58.9603495    |100           
    48825.0     0.0396035305  |40.9524898    |59.0079066         0.036868261   |40.9051844    |59.0579473    |100           
    48937.5     0.0388950721  |40.8558336    |59.1052713         0.0362027628  |40.8084828    |59.1553145    |100           
    49050.0     0.0381992871  |40.7593946    |59.2024062         0.0355492773  |40.7119993    |59.2524514    |100           
    49162.5     0.0375159488  |40.6631723    |59.2993117         0.0349075877  |40.6157337    |59.3493587    |100           
    49275.0     0.0368448347  |40.5671667    |59.3959885         0.034277481   |40.5196856    |59.4460369    |100           
    49387.5     0.0361857259  |40.4713773    |59.492437          0.0336587483  |40.4238548    |59.5424864    |100           
    49500.0     0.0355384078  |40.3758038    |59.5886578         0.033051184   |40.3282409    |59.6387079    |100           
    49612.5     0.0349026694  |40.280446     |59.6846513         0.0324545868  |40.2328437    |59.7347017    |100           
    49725.0     0.0342783036  |40.1853036    |59.7804181         0.0318687585  |40.1376628    |59.8304685    |100           
    49837.5     0.0336651069  |40.0903762    |59.8759587         0.0312935048  |40.0426978    |59.9260087    |100           
    49950.0     0.0330628796  |39.9956636    |59.9712736         0.0307286349  |39.9479485    |60.0213228    |100           
    50062.5     0.0324714253  |39.9011653    |60.0663632         0.0301739613  |39.8534146    |60.1164115    |100           
    50175.0     0.0318905515  |39.8068812    |60.1612283         0.0296293     |39.7590956    |60.2112751    |100           
    50287.5     0.0313200688  |39.7128108    |60.2558691         0.0290944701  |39.6649914    |60.3059142    |100           
    50400.0     0.0307597913  |39.6189539    |60.3502863         0.0285692943  |39.5711014    |60.4003293    |100           
    50512.5     0.0302095364  |39.5253102    |60.4444803         0.0280535984  |39.4774255    |60.4945209    |100           
    50625.0     0.029669125   |39.4318792    |60.5384517         0.0275472111  |39.3839633    |60.5884895    |100           
    50737.5     0.0291383809  |39.3386607    |60.6322009         0.0270499644  |39.2907144    |60.6822357    |100           
    50850.0     0.0286171311  |39.2456544    |60.7257285         0.0265616934  |39.1976784    |60.7757599    |100           
    50962.5     0.0281052058  |39.1528598    |60.819035          0.026082236   |39.1048551    |60.8690626    |100           
    51075.0     0.0276024383  |39.0602768    |60.9121208         0.0256114332  |39.0122441    |60.9621444    |100           
    51187.5     0.0271086646  |38.9679048    |61.0049865         0.0251491287  |38.9198451    |61.0550058    |100           
    51300.0     0.0266237239  |38.8757437    |61.0976326         0.0246951691  |38.8276576    |61.1476472    |100           
    51412.5     0.0261474583  |38.783793     |61.1900596         0.0242494038  |38.7356814    |61.2400692    |100           
    51525.0     0.0256797124  |38.6920524    |61.2822679         0.0238116849  |38.6439161    |61.3322722    |100           
    51637.5     0.025220334   |38.6005215    |61.3742581         0.0233818672  |38.5523613    |61.4242569    |100           
    51750.0     0.0247691732  |38.5092001    |61.4660307         0.0229598079  |38.4610166    |61.5160235    |100           
    51862.5     0.0243260832  |38.4180877    |61.5575862         0.0225453671  |38.3698818    |61.6075728    |100           
    51975.0     0.0238909195  |38.327184     |61.6489251         0.0221384073  |38.2789564    |61.6989051    |100           
    52087.5     0.0234635403  |38.2364887    |61.7400478         0.0217387934  |38.1882402    |61.790021     |100           
    52200.0     0.0230438065  |38.1460013    |61.8309549         0.0213463928  |38.0977326    |61.880921     |100           
    52312.5     0.0226315811  |38.0557216    |61.9216468         0.0209610753  |38.0074334    |61.9716055    |100           
    52425.0     0.02222673    |37.9656492    |62.0121241         0.020582713   |37.9173421    |62.0620751    |100           
    52537.5     0.0218291211  |37.8757837    |62.1023872         0.0202111805  |37.8274585    |62.1523303    |100           
    52650.0     0.021438625   |37.7861247    |62.1924367         0.0198463544  |37.7377822    |62.2423715    |100           
    52762.5     0.0210551144  |37.6966719    |62.282273          0.0194881136  |37.6483127    |62.3321992    |100           
    52875.0     0.0206784643  |37.6074249    |62.3718966         0.0191363394  |37.5590497    |62.421814     |100           
    52987.5     0.020308552   |37.5183834    |62.4613081         0.0187909149  |37.4699928    |62.5112163    |100           
    53100.0     0.019945257   |37.429547     |62.5505078         0.0184517256  |37.3811417    |62.6004066    |100           
    53212.5     0.0195884609  |37.3409152    |62.6394963         0.0181186589  |37.2924959    |62.6893854    |100           
    53325.0     0.0192380474  |37.2524879    |62.7282741         0.0177916043  |37.2040551    |62.7781532    |100           
    53437.5     0.0188939024  |37.1642645    |62.8168416         0.0174704532  |37.115819     |62.8667105    |100           
    53550.0     0.0185559138  |37.0762447    |62.9051994         0.0171550992  |37.0277871    |62.9550578    |100           
    53662.5     0.0182239713  |36.9884281    |62.9933479         0.0168454375  |36.939959     |63.0431955    |100           
    53775.0     0.0178979669  |36.9008144    |63.0812877         0.0165413654  |36.8523344    |63.1311242    |100           
    53887.5     0.0175777943  |36.8134031    |63.1690191         0.0162427821  |36.7649129    |63.2188443    |100           
    54000.0     0.0172633492  |36.726194     |63.2565427         0.0159495884  |36.6776941    |63.3063563    |100           
    54112.5     0.0169545291  |36.6391865    |63.3438589         0.015661687   |36.5906776    |63.3936607    |100           
    54225.0     0.0166512334  |36.5523805    |63.4309683         0.0153789825  |36.503863     |63.480758     |100           
    54337.5     0.0163533633  |36.4657753    |63.5178713         0.0151013809  |36.41725      |63.5676486    |100           
    54450.0     0.0160608218  |36.3793708    |63.6045684         0.0148287903  |36.3308381    |63.6543331    |100           
    54562.5     0.0157735134  |36.2931664    |63.6910601         0.0145611202  |36.244627     |63.7408118    |100           
    54675.0     0.0154913447  |36.2071619    |63.7773468         0.0142982816  |36.1586163    |63.8270854    |100           
    54787.5     0.0152142236  |36.1213568    |63.863429          0.0140401875  |36.0728056    |63.9131542    |100           
    54900.0     0.0149420599  |36.0357507    |63.9493072         0.0137867522  |35.9871945    |63.9990188    |100           
    55012.5     0.0146747648  |35.9503434    |64.0349819         0.0135378916  |35.9017825    |64.0846796    |100           
    55125.0     0.0144122513  |35.8651342    |64.1204535         0.013293523   |35.8165694    |64.1701371    |100           
    55237.5     0.0141544339  |35.780123     |64.2057225         0.0130535655  |35.7315547    |64.2553917    |100           
    55350.0     0.0139012285  |35.6953093    |64.2907895         0.0128179395  |35.6467381    |64.340444     |100           
    55462.5     0.0136525526  |35.6106927    |64.3756547         0.0125865666  |35.562119     |64.4252944    |100           
    55575.0     0.0134083252  |35.5262729    |64.4603188         0.0123593701  |35.4776972    |64.5099434    |100           
    55687.5     0.0131684668  |35.4420494    |64.5447822         0.0121362748  |35.3934723    |64.5943914    |100           
    55800.0     0.0129328991  |35.3580218    |64.6290453         0.0119172064  |35.3094438    |64.678639     |100           
    55912.5     0.0127015454  |35.2741898    |64.7131087         0.0117020924  |35.2256114    |64.7626865    |100           
    56025.0     0.0124743304  |35.190553     |64.7969727         0.0114908613  |35.1419747    |64.8465345    |100           
    56137.5     0.01225118    |35.1071109    |64.8806379         0.0112834432  |35.0585332    |64.9301834    |100           
    56250.0     0.0120320215  |35.0238633    |64.9641047         0.011079769   |34.9752866    |65.0136337    |100           
    56362.5     0.0118167834  |34.9408097    |65.0473736         0.0108797714  |34.8922344    |65.0968858    |100           
    56475.0     0.0116053957  |34.8579496    |65.130445          0.0106833838  |34.8093764    |65.1799402    |100           
    56587.5     0.0113977894  |34.7752828    |65.2133194         0.0104905411  |34.726712     |65.2627975    |100           
    56700.0     0.011193897   |34.6928089    |65.2959973         0.0103011794  |34.6442409    |65.3454579    |100           
    56812.5     0.010993652   |34.6105273    |65.378479          0.0101152359  |34.5619627    |65.4279221    |100           
    56925.0     0.0107969891  |34.5284378    |65.4607652         0.0099326487  |34.479877     |65.5101903    |100           
    57037.5     0.0106038442  |34.44654      |65.5428562         0.00975335736 |34.3979834    |65.5922632    |100           
    57150.0     0.0104141545  |34.3648334    |65.6247524         0.00957730236 |34.3162815    |65.6741412    |100           
    57262.5     0.0102278581  |34.2833177    |65.7064545         0.00940442527 |34.2347709    |65.7558247    |100           
    57375.0     0.0100448943  |34.2019924    |65.7879627         0.00923466874 |34.1534511    |65.8373142    |100           
    57487.5     0.00986520348 |34.1208573    |65.8692775         0.00906797643 |34.0723219    |65.9186101    |100           
    57600.0     0.00968872712 |34.0399118    |65.9503995         0.00890429304 |33.9913828    |65.9997129    |100           
    57712.5     0.00951540772 |33.9591556    |66.031329          0.00874356425 |33.9106334    |66.080623     |100           
    57825.0     0.00934518878 |33.8785884    |66.1120665         0.00858573672 |33.8300733    |66.161341     |100           
    57937.5     0.00917801485 |33.7982096    |66.1926124         0.0084307581  |33.7497021    |66.2418671    |100           
    58050.0     0.00901383146 |33.7180189    |66.2729672         0.00827857695 |33.6695194    |66.322202     |100           
    58162.5     0.0088525851  |33.638016     |66.3531314         0.00812914277 |33.5895249    |66.402346     |100           
    58275.0     0.00869422325 |33.5582004    |66.4331054         0.00798240599 |33.509718     |66.4822996    |100           
    58387.5     0.00853869429 |33.4785717    |66.5128896         0.00783831791 |33.4300985    |66.5620632    |100           
    58500.0     0.00838594756 |33.3991295    |66.5924845         0.00769683073 |33.3506659    |66.6416373    |100           
    58612.5     0.00823593327 |33.3198735    |66.6718906         0.00755789748 |33.2714198    |66.7210223    |100           
    58725.0     0.00808860256 |33.2408033    |66.7511081         0.00742147208 |33.1923598    |66.8002187    |100           
    58837.5     0.00794390741 |33.1619184    |66.8301377         0.00728750926 |33.1134856    |66.8792269    |100           
    58950.0     0.00780180068 |33.0832184    |66.9089798         0.00715596456 |33.0347967    |66.9580474    |100           
    59062.5     0.00766223607 |33.004703     |66.9876347         0.00702679433 |32.9562927    |67.0366805    |100           
    59175.0     0.00752516809 |32.9263718    |67.066103          0.00689995572 |32.8779732    |67.1151268    |100           
    59287.5     0.00739055209 |32.8482244    |67.144385          0.00677540664 |32.7998379    |67.1933867    |100           
    59400.0     0.00725834421 |32.7702604    |67.2224813         0.00665310575 |32.7218863    |67.2714606    |100           
    59512.5     0.00712850136 |32.6924794    |67.3003921         0.00653301248 |32.6441181    |67.3493489    |100           
    59625.0     0.00700098124 |32.6148809    |67.3781181         0.00641508698 |32.5665328    |67.4270522    |100           
    59737.5     0.0068757423  |32.5374647    |67.4556595         0.00629929012 |32.48913      |67.5045707    |100           
    59850.0     0.00675274373 |32.4602303    |67.5330169         0.00618558348 |32.4119094    |67.581905     |100           
    59962.5     0.00663194545 |32.3831774    |67.6101907         0.00607392932 |32.3348706    |67.6590555    |100           
    60075.0     0.00651330811 |32.3063054    |67.6871813         0.00596429059 |32.2580131    |67.7360226    |100           
    60187.5     0.00639679304 |32.2296141    |67.7639891         0.00585663093 |32.1813366    |67.8128068    |100           
    60300.0     0.00628236228 |32.1531031    |67.8406146         0.00575091459 |32.1048406    |67.8894084    |100           
    60412.5     0.00616997855 |32.0767719    |67.9170581         0.00564710651 |32.0285249    |67.965828     |100           
    60525.0     0.00605960523 |32.0006202    |67.9933202         0.00554517224 |31.9523889    |68.0420659    |100           
    60637.5     0.00595120635 |31.9246475    |68.0694013         0.00544507796 |31.8764323    |68.1181226    |100           
    60750.0     0.00584474659 |31.8488536    |68.1453017         0.00534679045 |31.8006547    |68.1939985    |100           
    60862.5     0.00574019126 |31.7732379    |68.2210219         0.0052502771  |31.7250557    |68.269694     |100           
    60975.0     0.0056375063  |31.6978002    |68.2965623         0.00515550588 |31.6496349    |68.3452096    |100           
    61087.5     0.00553665825 |31.6225399    |68.3719234         0.00506244535 |31.5743919    |68.4205456    |100           
    61200.0     0.00543761425 |31.5474568    |68.4471056         0.00497106463 |31.4993264    |68.4957026    |100           
    61312.5     0.00534034202 |31.4725504    |68.5221092         0.00488133339 |31.4244378    |68.5706808    |100           
    61425.0     0.00524480987 |31.3978204    |68.5969348         0.00479322187 |31.3497259    |68.6454808    |100           
    61537.5     0.00515098667 |31.3232664    |68.6715826         0.00470670082 |31.2751903    |68.720103     |100           
    61650.0     0.00505884186 |31.2488879    |68.7460533         0.00462174154 |31.2008305    |68.7945477    |100           
    61762.5     0.0049683454  |31.1746846    |68.8203471         0.00453831583 |31.1266462    |68.8688155    |100           
    61875.0     0.00487946782 |31.1006561    |68.8944644         0.00445639602 |31.0526369    |68.9429067    |100           
    61987.5     0.00479218014 |31.026802     |68.9684058         0.00437595492 |30.9788024    |69.0168217    |100           
    62100.0     0.00470645393 |30.953122     |69.0421716         0.00429696583 |30.9051421    |69.0905609    |100           
    62212.5     0.00462226126 |30.8796156    |69.1157622         0.00421940256 |30.8316558    |69.1641248    |100           
    62325.0     0.0045395747  |30.8062824    |69.189178          0.00414323936 |30.7583429    |69.2375138    |100           
    62437.5     0.00445836729 |30.7331221    |69.2624195         0.00406845095 |30.6852032    |69.3107283    |100           
    62550.0     0.00437861259 |30.6601343    |69.3354871         0.00399501253 |30.6122363    |69.3837687    |100           
    62662.5     0.00430028459 |30.5873186    |69.4083811         0.00392289973 |30.5394417    |69.4566354    |100           
    62775.0     0.00422335779 |30.5146747    |69.481102          0.00385208861 |30.4668191    |69.5293288    |100           
    62887.5     0.00414780712 |30.442202     |69.5536502         0.00378255569 |30.394368     |69.6018494    |100           
    63000.0     0.00407360795 |30.3699003    |69.6260261         0.00371427788 |30.3220882    |69.6741975    |100           
    63112.5     0.00400073612 |30.2977692    |69.6982301         0.00364723254 |30.2499792    |69.7463736    |100           
    63225.0     0.00392916787 |30.2258083    |69.7702626         0.00358139741 |30.1780406    |69.818378     |100           
    63337.5     0.00385887989 |30.1540172    |69.842124          0.00351675065 |30.1062721    |69.8902112    |100           
    63450.0     0.00378984928 |30.0823955    |69.9138147         0.00345327081 |30.0346732    |69.9618735    |100           
    63562.5     0.00372205354 |30.0109428    |69.9853351         0.00339093683 |29.9632436    |70.0333655    |100           
    63675.0     0.00365547058 |29.9396588    |70.0566857         0.00332972802 |29.8919829    |70.1046874    |100           
    63787.5     0.00359007871 |29.8685431    |70.1278668         0.00326962407 |29.8208907    |70.1758397    |100           
    63900.0     0.00352585662 |29.7975953    |70.1988788         0.00321060504 |29.7499667    |70.2468227    |100           
    64012.5     0.00346278338 |29.7268151    |70.2697222         0.00315265135 |29.6792104    |70.3176369    |100           
    64125.0     0.00340083845 |29.656202     |70.3403972         0.00309574376 |29.6086215    |70.3882828    |100           
    64237.5     0.00334000163 |29.5857556    |70.4109044         0.00303986339 |29.5381996    |70.4587606    |100           
    64350.0     0.00328025311 |29.5154757    |70.4812441         0.00298499171 |29.4679443    |70.5290707    |100           
    64462.5     0.00322157342 |29.4453618    |70.5514167         0.00293111049 |29.3978552    |70.5992136    |100           
    64575.0     0.00316394344 |29.3754135    |70.6214226         0.00287820187 |29.327932     |70.6691897    |100           
    64687.5     0.00310734438 |29.3056305    |70.6912622         0.00282624829 |29.2581743    |70.7389994    |100           
    64800.0     0.00305175781 |29.2360124    |70.7609358         0.00277523251 |29.1885817    |70.808643     |100           
    64912.5     0.00299716562 |29.1665588    |70.830444          0.0027251376  |29.1191539    |70.878121     |100           
    65025.0     0.00294355001 |29.0972694    |70.8997871         0.00267594694 |29.0498904    |70.9474337    |100           
    65137.5     0.00289089353 |29.0281437    |70.9689654         0.0026276442  |28.9807908    |71.0165815    |100           
    65250.0     0.002839179   |28.9591815    |71.0379793         0.00258021336 |28.9118549    |71.0855649    |100           
    65362.5     0.00278838958 |28.8903823    |71.1068293         0.00253363869 |28.8430822    |71.1543842    |100           
    65475.0     0.00273850872 |28.8217457    |71.1755158         0.00248790471 |28.7744724    |71.2230397    |100           
    65587.5     0.00268952017 |28.7532715    |71.244039          0.00244299627 |28.706025     |71.291532     |100           
    65700.0     0.00264140796 |28.6849591    |71.3123995         0.00239889846 |28.6377398    |71.3598613    |100           
    65812.5     0.00259415642 |28.6168083    |71.3805975         0.00235559665 |28.5696163    |71.4280281    |100           
    65925.0     0.00254775016 |28.5488187    |71.4486335         0.00231307646 |28.5016542    |71.4960327    |100           
    66037.5     0.00250217404 |28.4809899    |71.5165079         0.00227132379 |28.4338531    |71.5638756    |100           
    66150.0     0.00245741323 |28.4133216    |71.584221          0.00223032479 |28.3662126    |71.6315571    |100           
    66262.5     0.00241345313 |28.3458133    |71.6517732         0.00219006585 |28.2987324    |71.6990775    |100           
    66375.0     0.00237027942 |28.2784648    |71.719165          0.00215053361 |28.2314121    |71.7664374    |100           
    66487.5     0.00232787804 |28.2112756    |71.7863966         0.00211171496 |28.1642513    |71.833637     |100           
    66600.0     0.00228623516 |28.1442453    |71.8534684         0.00207359701 |28.0972497    |71.9006767    |100           
    66712.5     0.00224533723 |28.0773737    |71.9203809         0.00203616711 |28.0304069    |71.967557     |100           
    66825.0     0.00220517091 |28.0106604    |71.9871344         0.00199941285 |27.9637225    |72.0342781    |100           
    66937.5     0.00216572311 |27.9441049    |72.0537293         0.00196332204 |27.8971962    |72.1008405    |100           
    67050.0     0.00212698099 |27.877707     |72.120166          0.00192788269 |27.8308275    |72.1672446    |100           
    67162.5     0.00208893192 |27.8114663    |72.1864448         0.00189308304 |27.7646162    |72.2334907    |100           
    67275.0     0.0020515635  |27.7453823    |72.2525661         0.00185891155 |27.6985619    |72.2995791    |100           
    67387.5     0.00201486355 |27.6794548    |72.3185303         0.00182535688 |27.6326642    |72.3655104    |100           
    67500.0     0.00197882012 |27.6136834    |72.3843378         0.0017924079  |27.5669228    |72.4312848    |100           
    67612.5     0.00194342146 |27.5480677    |72.4499889         0.00176005367 |27.5013372    |72.4969027    |100           
    67725.0     0.00190865605 |27.4826074    |72.515484          0.00172828345 |27.4359072    |72.5623645    |100           
    67837.5     0.00187451254 |27.4173021    |72.5808234         0.00169708671 |27.3706324    |72.6276705    |100           
    67950.0     0.00184097981 |27.3521514    |72.6460076         0.00166645309 |27.3055123    |72.6928212    |100           
    68062.5     0.00180804695 |27.2871551    |72.7110369         0.00163637244 |27.2405467    |72.7578169    |100           
    68175.0     0.00177570321 |27.2223126    |72.7759117         0.00160683476 |27.1757352    |72.8226579    |100           
    68287.5     0.00174393807 |27.1576238    |72.8406323         0.00157783025 |27.1110775    |72.8873447    |100           
    68400.0     0.00171274116 |27.0930882    |72.9051991         0.0015493493  |27.0465731    |72.9518775    |100           
    68512.5     0.00168210233 |27.0287054    |72.9696125         0.00152138245 |26.9822218    |73.0162568    |100           
    68625.0     0.00165201159 |26.9644752    |73.0338728         0.00149392042 |26.9180231    |73.080483     |100           
    68737.5     0.00162245913 |26.9003972    |73.0979804         0.0014669541  |26.8539767    |73.1445563    |100           
    68850.0     0.00159343534 |26.8364709    |73.1619356         0.00144047454 |26.7900823    |73.2084772    |100           
    68962.5     0.00156493074 |26.7726962    |73.2257389         0.00141447295 |26.7263396    |73.272246     |100           
    69075.0     0.00153693605 |26.7090725    |73.2893906         0.00138894071 |26.662748     |73.335863     |100           
    69187.5     0.00150944216 |26.6455996    |73.3528909         0.00136386935 |26.5993074    |73.3993287    |100           
    69300.0     0.0014824401  |26.5822771    |73.4162404         0.00133925054 |26.5360174    |73.4626434    |100           
    69412.5     0.00145592107 |26.5191047    |73.4794393         0.00131507612 |26.4728775    |73.5258074    |100           
    69525.0     0.00142987643 |26.456082     |73.5424881         0.00129133807 |26.4098875    |73.5888212    |100           
    69637.5     0.0014042977  |26.3932087    |73.605387          0.0012680285  |26.347047     |73.651685     |100           
    69750.0     0.00137917654 |26.3304844    |73.6681364         0.00124513969 |26.2843557    |73.7143992    |100           
    69862.5     0.00135450477 |26.2679088    |73.7307367         0.00122266404 |26.2218132    |73.7769642    |100           
    69975.0     0.00133027435 |26.2054815    |73.7931882         0.00120059409 |26.1594191    |73.8393803    |100           
    70087.5     0.00130647738 |26.1432022    |73.8554913         0.00117892251 |26.0971732    |73.9016479    |100           
    70200.0     0.0012831061  |26.0810706    |73.9176463         0.00115764213 |26.035075     |73.9637674    |100           
    70312.5     0.00126015291 |26.0190862    |73.9796537         0.00113674587 |25.9731243    |74.025739     |100           
    70425.0     0.00123761033 |25.9572488    |74.0415136         0.0011162268  |25.9113206    |74.0875632    |100           
    70537.5     0.001215471   |25.895558     |74.1032265         0.00109607812 |25.8496637    |74.1492402    |100           
    70650.0     0.00119372772 |25.8340135    |74.1647928         0.00107629313 |25.7881532    |74.2107705    |100           
    70762.5     0.0011723734  |25.7726149    |74.2262127         0.00105686528 |25.7267888    |74.2721544    |100           
    70875.0     0.00115140108 |25.7113619    |74.2874867         0.00103778811 |25.66557      |74.3333922    |100           
    70987.5     0.00113080393 |25.6502542    |74.348615          0.0010190553  |25.6044967    |74.3944843    |100           
    71100.0     0.00111057524 |25.5892913    |74.4095981         0.00100066063 |25.5435683    |74.455431     |100           
    71212.5     0.00109070842 |25.5284731    |74.4704362         0.000982597998|25.4827847    |74.5162327    |100           
    71325.0     0.00107119699 |25.4677991    |74.5311297         0.000964861409|25.4221454    |74.5768897    |100           
    71437.5     0.00105203459 |25.407269     |74.591679          0.000947444978|25.3616502    |74.6374024    |100           
    71550.0     0.00103321499 |25.3468824    |74.6520843         0.000930342925|25.3012986    |74.697771     |100           
    71662.5     0.00101473204 |25.2866391    |74.7123461         0.000913549577|25.2410904    |74.7579961    |100           
    71775.0     0.000996579734|25.2265387    |74.7724647         0.00089705936 |25.1810252    |74.8180778    |100           
    71887.5     0.000978752148|25.1665809    |74.8324404         0.000880866804|25.1211027    |74.8780165    |100           
    72000.0     0.000961243477|25.1067653    |74.8922735         0.000864966535|25.0613225    |74.9378126    |100           
    72112.5     0.000944048014|25.0470915    |74.9519644         0.000849353276|25.0016843    |74.9974664    |100           
    72225.0     0.000927160156|24.9875594    |75.0115134         0.000834021849|24.9421878    |75.0569782    |100           
    72337.5     0.000910574402|24.9281685    |75.0709209         0.000818967164|24.8828326    |75.1163484    |100           
    72450.0     0.000894285346|24.8689185    |75.1301872         0.000804184227|24.8236185    |75.1755773    |100           
    72562.5     0.000878287682|24.809809     |75.1893127         0.000789668132|24.764545     |75.2346653    |100           
    72675.0     0.000862576196|24.7508398    |75.2482976         0.000775414064|24.7056119    |75.2936127    |100           
