Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 14.0625 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.5362038412914 at t = 14526.5625 s

    Time                           Analytical                                             Numerical                         
     (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
     71493.75     0.00104258233 |25.3770578    |74.6218996         0.00102915663 |25.3713616    |74.6276093    |100           
   71507.8125     0.00104023256 |25.3695106    |74.6294492         0.0010268345  |25.3638149    |74.6351582    |100           
    71521.875     0.00103788809 |25.3619656    |74.6369965         0.00102451761 |25.3562705    |74.642705     |100           
   71535.9375     0.0010355489  |25.3544229    |74.6445415         0.00102220596 |25.3487284    |74.6502494    |100           
      71550.0     0.00103321499 |25.3468824    |74.6520843         0.00101989951 |25.3411884    |74.6577917    |100           
   71564.0625     0.00103088633 |25.3393442    |74.6596249         0.00101759828 |25.3336507    |74.6653317    |100           
    71578.125     0.00102856293 |25.3318082    |74.6671632         0.00101530223 |25.3261153    |74.6728694    |100           
   71592.1875     0.00102624476 |25.3242744    |74.6746993         0.00101301136 |25.3185821    |74.6804049    |100           
     71606.25     0.00102393181 |25.3167429    |74.6822332         0.00101072567 |25.3110511    |74.6879382    |100           
   71620.3125     0.00102162408 |25.3092136    |74.6897648         0.00100844513 |25.3035223    |74.6954692    |100           
    71634.375     0.00101932155 |25.3016866    |74.6972941         0.00100616973 |25.2959958    |74.702998     |100           
   71648.4375     0.00101702421 |25.2941617    |74.7048212         0.00100389947 |25.2884715    |74.7105246    |100           
      71662.5     0.00101473204 |25.2866391    |74.7123461         0.00100163434 |25.2809495    |74.7180489    |100           
   71676.5625     0.00101244504 |25.2791188    |74.7198688         0.000999374312|25.2734297    |74.725571     |100           
    71690.625     0.0010101632  |25.2716007    |74.7273892         0.000997119385|25.2659121    |74.7330908    |100           
   71704.6875     0.0010078865  |25.2640848    |74.7349074         0.000994869546|25.2583967    |74.7406084    |100           
     71718.75     0.00100561493 |25.2565711    |74.7424233         0.000992624784|25.2508836    |74.7481237    |100           
   71732.8125     0.00100334848 |25.2490597    |74.749937          0.000990385086|25.2433727    |74.7556369    |100           
    71746.875     0.00100108714 |25.2415505    |74.7574485         0.000988150442|25.2358641    |74.7631478    |100           
   71760.9375     0.000998830894|25.2340435    |74.7649577         0.00098592084 |25.2283577    |74.7706564    |100           
      71775.0     0.000996579734|25.2265387    |74.7724647         0.000983696269|25.2208535    |74.7781628    |100           
   71789.0625     0.000994333647|25.2190362    |74.7799695         0.000981476718|25.2133515    |74.785667     |100           
    71803.125     0.000992092623|25.2115359    |74.787472          0.000979262174|25.2058517    |74.793169     |100           
   71817.1875     0.00098985665 |25.2040378    |74.7949723         0.000977052627|25.1983542    |74.8006687    |100           
     71831.25     0.000987625716|25.196542     |74.8024704         0.000974848066|25.1908589    |74.8081662    |100           
   71845.3125     0.000985399811|25.1890484    |74.8099662         0.000972648478|25.1833659    |74.8156615    |100           
    71859.375     0.000983178922|25.181557     |74.8174598         0.000970453854|25.175875     |74.8231545    |100           
   71873.4375     0.000980963038|25.1740678    |74.8249512         0.000968264182|25.1683864    |74.8306453    |100           
      71887.5     0.000978752148|25.1665809    |74.8324404         0.00096607945 |25.1609       |74.8381339    |100           
   71901.5625     0.000976546242|25.1590962    |74.8399273         0.000963899648|25.1534158    |74.8456203    |100           
    71915.625     0.000974345307|25.1516137    |74.847412          0.000961724764|25.1459339    |74.8531044    |100           
   71929.6875     0.000972149333|25.1441334    |74.8548945         0.000959554787|25.1384542    |74.8605863    |100           
     71943.75     0.000969958307|25.1366553    |74.8623747         0.000957389707|25.1309766    |74.868066     |100           
   71957.8125     0.00096777222 |25.1291795    |74.8698528         0.000955229512|25.1235014    |74.8755434    |100           
    71971.875     0.00096559106 |25.1217059    |74.8773286         0.000953074191|25.1160283    |74.8830186    |100           
   71985.9375     0.000963414816|25.1142345    |74.8848021         0.000950923733|25.1085574    |74.8904916    |100           
      72000.0     0.000961243477|25.1067653    |74.8922735         0.000948778127|25.1010888    |74.8979624    |100           
   72014.0625     0.000959077031|25.0992983    |74.8997426         0.000946637362|25.0936224    |74.905431     |100           
    72028.125     0.000956915468|25.0918335    |74.9072095         0.000944501428|25.0861582    |74.9128973    |100           
   72042.1875     0.000954758777|25.084371     |74.9146742         0.000942370313|25.0786962    |74.9203614    |100           
     72056.25     0.000952606947|25.0769107    |74.9221367         0.000940244007|25.0712364    |74.9278233    |100           
   72070.3125     0.000950459966|25.0694526    |74.929597          0.000938122498|25.0637789    |74.935283     |100           
    72084.375     0.000948317824|25.0619967    |74.937055          0.000936005776|25.0563235    |74.9427404    |100           
   72098.4375     0.00094618051 |25.054543     |74.9445108         0.00093389383 |25.0488704    |74.9501957    |100           
      72112.5     0.000944048014|25.0470915    |74.9519644         0.00093178665 |25.0414195    |74.9576487    |100           
   72126.5625     0.000941920323|25.0396423    |74.9594158         0.000929684224|25.0339708    |74.9650995    |100           
    72140.625     0.000939797428|25.0321953    |74.966865          0.000927586541|25.0265243    |74.9725481    |100           
   72154.6875     0.000937679317|25.0247504    |74.9743119         0.000925493592|25.01908      |74.9799945    |100           
     72168.75     0.00093556598 |25.0173078    |74.9817566         0.000923405365|25.011638     |74.9874386    |100           
   72182.8125     0.000933457407|25.0098674    |74.9891992         0.00092132185 |25.0041981    |74.9948806    |100           
    72196.875     0.000931353585|25.0024292    |74.9966395         0.000919243036|24.9967605    |75.0023203    |100           
   72210.9375     0.000929254505|24.9949932    |75.0040776         0.000917168913|24.989325     |75.0097578    |100           
      72225.0     0.000927160156|24.9875594    |75.0115134         0.000915099469|24.9818918    |75.0171931    |100           
   72239.0625     0.000925070527|24.9801278    |75.0189471         0.000913034695|24.9744608    |75.0246262    |100           
    72253.125     0.000922985608|24.9726984    |75.0263786         0.00091097458 |24.967032     |75.0320571    |100           
   72267.1875     0.000920905388|24.9652713    |75.0338078         0.000908919113|24.9596053    |75.0394857    |100           
     72281.25     0.000918829856|24.9578463    |75.0412349         0.000906868284|24.9521809    |75.0469122    |100           
   72295.3125     0.000916759002|24.9504235    |75.0486597         0.000904822082|24.9447587    |75.0543365    |100           
    72309.375     0.000914692815|24.943003     |75.0560823         0.000902780497|24.9373387    |75.0617585    |100           
   72323.4375     0.000912631285|24.9355846    |75.0635027         0.000900743519|24.9299209    |75.0691783    |100           
      72337.5     0.000910574402|24.9281685    |75.0709209         0.000898711136|24.9225053    |75.076596     |100           
   72351.5625     0.000908522154|24.9207545    |75.078337          0.00089668334 |24.9150919    |75.0840114    |100           
    72365.625     0.000906474531|24.9133428    |75.0857507         0.000894660119|24.9076807    |75.0914246    |100           
   72379.6875     0.000904431524|24.9059332    |75.0931623         0.000892641463|24.9002718    |75.0988356    |100           
     72393.75     0.000902393121|24.8985259    |75.1005717         0.000890627361|24.892865     |75.1062444    |100           
   72407.8125     0.000900359312|24.8911207    |75.1079789         0.000888617805|24.8854604    |75.113651     |100           
    72421.875     0.000898330086|24.8837178    |75.1153839         0.000886612782|24.878058     |75.1210554    |100           
   72435.9375     0.000896305435|24.876317     |75.1227867         0.000884612284|24.8706578    |75.1284576    |100           
      72450.0     0.000894285346|24.8689185    |75.1301872         0.000882616299|24.8632598    |75.1358576    |100           
   72464.0625     0.00089226981 |24.8615221    |75.1375856         0.000880624818|24.855864     |75.1432554    |100           
    72478.125     0.000890258817|24.8541279    |75.1449818         0.00087863783 |24.8484704    |75.150651     |100           
   72492.1875     0.000888252357|24.846736     |75.1523758         0.000876655326|24.841079     |75.1580444    |100           
     72506.25     0.000886250418|24.8393462    |75.1597676         0.000874677295|24.8336898    |75.1654356    |100           
   72520.3125     0.000884252991|24.8319586    |75.1671571         0.000872703726|24.8263027    |75.1728246    |100           
    72534.375     0.000882260066|24.8245732    |75.1745445         0.000870734611|24.8189179    |75.1802114    |100           
   72548.4375     0.000880271633|24.81719      |75.1819297         0.000868769939|24.8115353    |75.187596     |100           
      72562.5     0.000878287682|24.809809     |75.1893127         0.0008668097  |24.8041548    |75.1949784    |100           
   72576.5625     0.000876308201|24.8024302    |75.1966935         0.000864853884|24.7967766    |75.2023586    |100           
    72590.625     0.000874333182|24.7950536    |75.2040721         0.000862902481|24.7894005    |75.2097366    |100           
   72604.6875     0.000872362615|24.7876792    |75.2114485         0.000860955481|24.7820266    |75.2171124    |100           
     72618.75     0.000870396488|24.7803069    |75.2188227         0.000859012874|24.774655     |75.224486     |100           
   72632.8125     0.000868434793|24.7729369    |75.2261947         0.00085707465 |24.7672855    |75.2318575    |100           
    72646.875     0.000866477519|24.765569     |75.2335645         0.0008551408  |24.7599182    |75.2392267    |100           
   72660.9375     0.000864524657|24.7582033    |75.2409321         0.000853211313|24.7525531    |75.2465937    |100           
      72675.0     0.000862576196|24.7508398    |75.2482976         0.000851286179|24.7451901    |75.2539586    |100           
   72689.0625     0.000860632126|24.7434785    |75.2556608         0.00084936539 |24.7378294    |75.2613212    |100           
    72703.125     0.000858692437|24.7361194    |75.2630219         0.000847448934|24.7304708    |75.2686817    |100           
   72717.1875     0.000856757121|24.7287625    |75.2703808         0.000845536802|24.7231145    |75.27604      |100           
     72731.25     0.000854826166|24.7214077    |75.2777374         0.000843628985|24.7157603    |75.2833961    |100           
   72745.3125     0.000852899563|24.7140552    |75.2850919         0.000841725472|24.7084083    |75.29075      |100           
    72759.375     0.000850977303|24.7067048    |75.2924442         0.000839826255|24.7010585    |75.2981017    |100           
   72773.4375     0.000849059374|24.6993566    |75.2997944         0.000837931322|24.6937108    |75.3054513    |100           
      72787.5     0.000847145769|24.6920106    |75.3071423         0.000836040666|24.6863654    |75.3127986    |100           
   72801.5625     0.000845236476|24.6846667    |75.314488          0.000834154275|24.6790221    |75.3201438    |100           
    72815.625     0.000843331486|24.6773251    |75.3218316         0.000832272141|24.671681     |75.3274867    |100           
   72829.6875     0.00084143079 |24.6699856    |75.329173          0.000830394253|24.6643421    |75.3348275    |100           
     72843.75     0.000839534378|24.6626483    |75.3365122         0.000828520602|24.6570053    |75.3421661    |100           
   72857.8125     0.000837642239|24.6553132    |75.3438492         0.00082665118 |24.6496708    |75.3495026    |100           
    72871.875     0.000835754366|24.6479802    |75.351184          0.000824785975|24.6423384    |75.3568368    |100           
   72885.9375     0.000833870747|24.6406495    |75.3585167         0.000822924978|24.6350082    |75.3641689    |100           
      72900.0     0.000831991373|24.6333209    |75.3658471         0.000821068181|24.6276802    |75.3714987    |100           
   72914.0625     0.000830116235|24.6259945    |75.3731754         0.000819215573|24.6203543    |75.3788264    |100           
    72928.125     0.000828245324|24.6186702    |75.3805015         0.000817367146|24.6130307    |75.386152     |100           
   72942.1875     0.000826378629|24.6113482    |75.3878255         0.000815522889|24.6057092    |75.3934753    |100           
     72956.25     0.000824516141|24.6040283    |75.3951472         0.000813682793|24.5983899    |75.4007965    |100           
   72970.3125     0.00082265785 |24.5967106    |75.4024668         0.000811846849|24.5910727    |75.4081154    |100           
    72984.375     0.000820803748|24.589395     |75.4097842         0.000810015048|24.5837577    |75.4154322    |100           
   72998.4375     0.000818953825|24.5820817    |75.4170994         0.00080818738 |24.5764449    |75.4227469    |100           
      73012.5     0.000817108071|24.5747705    |75.4244124         0.000806363836|24.5691343    |75.4300593    |100           
   73026.5625     0.000815266477|24.5674614    |75.4317233         0.000804544406|24.5618258    |75.4373696    |100           
    73040.625     0.000813429034|24.5601546    |75.439032          0.000802729081|24.5545196    |75.4446777    |100           
   73054.6875     0.000811595732|24.5528499    |75.4463385         0.000800917853|24.5472154    |75.4519836    |100           
     73068.75     0.000809766561|24.5455474    |75.4536429         0.000799110711|24.5399135    |75.4592874    |100           
   73082.8125     0.000807941514|24.538247     |75.460945          0.000797307647|24.5326137    |75.466589     |100           
    73096.875     0.000806120579|24.5309488    |75.468245          0.000795508651|24.5253161    |75.4738884    |100           
   73110.9375     0.000804303749|24.5236528    |75.4755429         0.000793713714|24.5180206    |75.4811856    |100           
      73125.0     0.000802491013|24.516359     |75.4828385         0.000791922827|24.5107274    |75.4884807    |100           
   73139.0625     0.000800682363|24.5090673    |75.490132          0.000790135981|24.5034362    |75.4957736    |100           
    73153.125     0.000798877789|24.5017778    |75.4974234         0.000788353167|24.4961473    |75.5030643    |100           
   73167.1875     0.000797077283|24.4944904    |75.5047125         0.000786574376|24.4888605    |75.5103529    |100           
     73181.25     0.000795280834|24.4872052    |75.5119995         0.000784799598|24.4815759    |75.5176393    |100           
   73195.3125     0.000793488434|24.4799222    |75.5192843         0.000783028824|24.4742934    |75.5249235    |100           
    73209.375     0.000791700074|24.4726413    |75.526567          0.000781262046|24.4670131    |75.5322056    |100           
   73223.4375     0.000789915744|24.4653626    |75.5338474         0.000779499254|24.459735     |75.5394855    |100           
      73237.5     0.000788135436|24.4580861    |75.5411258         0.00077774044 |24.452459     |75.5467632    |100           
   73251.5625     0.000786359141|24.4508117    |75.5484019         0.000775985595|24.4451852    |75.5540388    |100           
    73265.625     0.000784586848|24.4435395    |75.5556759         0.000774234708|24.4379136    |75.5613122    |100           
   73279.6875     0.000782818551|24.4362694    |75.5629477         0.000772487773|24.4306441    |75.5685834    |100           
     73293.75     0.000781054238|24.4290015    |75.5702174         0.000770744779|24.4233768    |75.5758525    |100           
   73307.8125     0.000779293902|24.4217358    |75.5774849         0.000769005718|24.4161116    |75.5831194    |100           
    73321.875     0.000777537534|24.4144722    |75.5847503         0.000767270581|24.4088486    |75.5903841    |100           
   73335.9375     0.000775785124|24.4072108    |75.5920134         0.000765539358|24.4015877    |75.5976467    |100           
      73350.0     0.000774036663|24.3999515    |75.5992745         0.000763812043|24.394329     |75.6049072    |100           
   73364.0625     0.000772292143|24.3926944    |75.6065333         0.000762088624|24.3870725    |75.6121654    |100           
    73378.125     0.000770551555|24.3854394    |75.61379           0.000760369094|24.3798181    |75.6194215    |100           
   73392.1875     0.00076881489 |24.3781866    |75.6210446         0.000758653444|24.3725659    |75.6266755    |100           
     73406.25     0.000767082139|24.370936     |75.6282969         0.000756941665|24.3653158    |75.6339273    |100           
   73420.3125     0.000765353293|24.3636875    |75.6355472         0.000755233749|24.3580679    |75.6411769    |100           
    73434.375     0.000763628344|24.3564411    |75.6427952         0.000753529686|24.3508221    |75.6484244    |100           
   73448.4375     0.000761907282|24.3491969    |75.6500412         0.000751829468|24.3435785    |75.6556697    |100           
      73462.5     0.000760190099|24.3419549    |75.6572849         0.000750133086|24.336337     |75.6629129    |100           
   73476.5625     0.000758476787|24.334715     |75.6645265         0.000748440532|24.3290977    |75.6701539    |100           
    73490.625     0.000756767336|24.3274772    |75.671766          0.000746751797|24.3218605    |75.6773928    |100           
   73504.6875     0.000755061738|24.3202416    |75.6790033         0.000745066872|24.3146255    |75.6846295    |100           
     73518.75     0.000753359983|24.3130082    |75.6862384         0.000743385749|24.3073926    |75.691864     |100           
   73532.8125     0.000751662064|24.3057769    |75.6934714         0.000741708419|24.3001619    |75.6990964    |100           
    73546.875     0.000749967972|24.2985478    |75.7007023         0.000740034874|24.2929333    |75.7063267    |100           
   73560.9375     0.000748277698|24.2913208    |75.707931          0.000738365104|24.2857069    |75.7135548    |100           
      73575.0     0.000746591234|24.2840959    |75.7151575         0.000736699103|24.2784826    |75.7207807    |100           
   73589.0625     0.00074490857 |24.2768732    |75.7223819         0.00073503686 |24.2712605    |75.7280045    |100           
    73603.125     0.000743229699|24.2696526    |75.7296042         0.000733378368|24.2640405    |75.7352262    |100           
   73617.1875     0.000741554612|24.2624342    |75.7368243         0.000731723618|24.2568226    |75.7424457    |100           
     73631.25     0.0007398833  |24.2552179    |75.7440422         0.000730072602|24.2496069    |75.749663     |100           
   73645.3125     0.000738215755|24.2480038    |75.751258          0.000728425311|24.2423934    |75.7568782    |100           
    73659.375     0.000736551968|24.2407918    |75.7584717         0.000726781737|24.2351819    |75.7640913    |100           
   73673.4375     0.000734891931|24.2335819    |75.7656832         0.000725141872|24.2279727    |75.7713022    |100           
      73687.5     0.000733235635|24.2263742    |75.7728925         0.000723505706|24.2207655    |75.778511     |100           
   73701.5625     0.000731583073|24.2191687    |75.7800998         0.000721873232|24.2135605    |75.7857176    |100           
    73715.625     0.000729934234|24.2119652    |75.7873048         0.000720244442|24.2063577    |75.7929221    |100           
   73729.6875     0.000728289112|24.2047639    |75.7945078         0.000718619327|24.199157     |75.8001244    |100           
     73743.75     0.000726647698|24.1975648    |75.8017086         0.000716997878|24.1919584    |75.8073246    |100           
   73757.8125     0.000725009983|24.1903678    |75.8089072         0.000715380089|24.184762     |75.8145227    |100           
    73771.875     0.00072337596 |24.1831729    |75.8161037         0.000713765949|24.1775677    |75.8217186    |100           
   73785.9375     0.000721745619|24.1759801    |75.8232981         0.000712155451|24.1703755    |75.8289124    |100           
      73800.0     0.000720118952|24.1687895    |75.8304903         0.000710548588|24.1631855    |75.836104     |100           
   73814.0625     0.000718495952|24.1616011    |75.8376804         0.000708945349|24.1559976    |75.8432935    |100           
    73828.125     0.000716876609|24.1544147    |75.8448684         0.000707345729|24.1488118    |75.8504808    |100           
   73842.1875     0.000715260916|24.1472305    |75.8520542         0.000705749717|24.1416282    |75.857666     |100           
     73856.25     0.000713648865|24.1400485    |75.8592379         0.000704157307|24.1344467    |75.8648491    |100           
   73870.3125     0.000712040447|24.1328685    |75.8664194         0.00070256849 |24.1272674    |75.8720301    |100           
    73884.375     0.000710435654|24.1256907    |75.8735988         0.000700983258|24.1200901    |75.8792089    |100           
   73898.4375     0.000708834477|24.1185151    |75.8807761         0.000699401602|24.1129151    |75.8863855    |100           
      73912.5     0.00070723691 |24.1113415    |75.8879512         0.000697823515|24.1057421    |75.8935601    |100           
   73926.5625     0.000705642943|24.1041701    |75.8951242         0.000696248989|24.0985713    |75.9007325    |100           
    73940.625     0.000704052569|24.0970009    |75.9022951         0.000694678016|24.0914026    |75.9079028    |100           
   73954.6875     0.000702465778|24.0898337    |75.9094638         0.000693110587|24.084236     |75.9150709    |100           
     73968.75     0.000700882565|24.0826687    |75.9166304         0.000691546695|24.0770716    |75.9222369    |100           
   73982.8125     0.000699302919|24.0755058    |75.9237949         0.000689986332|24.0699093    |75.9294008    |100           
    73996.875     0.000697726834|24.068345     |75.9309572         0.000688429489|24.0627491    |75.9365625    |100           
   74010.9375     0.000696154301|24.0611864    |75.9381174         0.000686876159|24.055591     |75.9437221    |100           
      74025.0     0.000694585312|24.0540299    |75.9452755         0.000685326334|24.0484351    |75.9508796    |100           
   74039.0625     0.000693019859|24.0468755    |75.9524315         0.000683780006|24.0412813    |75.9580349    |100           
    74053.125     0.000691457934|24.0397232    |75.9595853         0.000682237167|24.0341296    |75.9651882    |100           
   74067.1875     0.00068989953 |24.0325731    |75.966737          0.000680697809|24.02698      |75.9723393    |100           
     74081.25     0.000688344638|24.0254251    |75.9738866         0.000679161924|24.0198326    |75.9794882    |100           
   74095.3125     0.00068679325 |24.0182792    |75.981034          0.000677629505|24.0126873    |75.9866351    |100           
    74109.375     0.000685245359|24.0111354    |75.9881793         0.000676100543|24.0055441    |75.9937798    |100           
   74123.4375     0.000683700957|24.0039938    |75.9953225         0.000674575032|23.9984031    |76.0009224    |100           
      74137.5     0.000682160035|23.9968543    |76.0024636         0.000673052962|23.9912641    |76.0080628    |100           
   74151.5625     0.000680622586|23.9897169    |76.0096025         0.000671534327|23.9841273    |76.0152012    |100           
    74165.625     0.000679088603|23.9825816    |76.0167393         0.000670019118|23.9769926    |76.0223374    |100           
   74179.6875     0.000677558076|23.9754484    |76.023874          0.000668507328|23.96986      |76.0294715    |100           
     74193.75     0.000676030999|23.9683174    |76.0310066         0.000666998949|23.9627295    |76.0366035    |100           
   74207.8125     0.000674507364|23.9611884    |76.0381371         0.000665493974|23.9556012    |76.0437333    |100           
    74221.875     0.000672987163|23.9540616    |76.0452654         0.000663992394|23.948475     |76.050861     |100           
   74235.9375     0.000671470388|23.9469369    |76.0523916         0.000662494203|23.9413509    |76.0579866    |100           
      74250.0     0.000669957031|23.9398144    |76.0595157         0.000660999391|23.9342289    |76.0651101    |100           
   74264.0625     0.000668447086|23.9326939    |76.0666377         0.000659507953|23.927109     |76.0722315    |100           
    74278.125     0.000666940543|23.9255755    |76.0737575         0.00065801988 |23.9199912    |76.0793508    |100           
   74292.1875     0.000665437396|23.9184593    |76.0808753         0.000656535164|23.9128756    |76.0864679    |100           
     74306.25     0.000663937637|23.9113452    |76.0879909         0.000655053799|23.905762     |76.0935829    |100           
   74320.3125     0.000662441257|23.9042332    |76.0951044         0.000653575776|23.8986506    |76.1006958    |100           
    74334.375     0.000660948251|23.8971233    |76.1022158         0.000652101088|23.8915413    |76.1078066    |100           
   74348.4375     0.000659458609|23.8900155    |76.109325          0.000650629727|23.8844341    |76.1149153    |100           
      74362.5     0.000657972324|23.8829098    |76.1164322         0.000649161686|23.877329     |76.1220218    |100           
   74376.5625     0.00065648939 |23.8758063    |76.1235372         0.000647696957|23.8702261    |76.1291262    |100           
    74390.625     0.000655009797|23.8687048    |76.1306402         0.000646235534|23.8631252    |76.1362286    |100           
   74404.6875     0.00065353354 |23.8616055    |76.137741          0.000644777408|23.8560264    |76.1433288    |100           
     74418.75     0.000652060609|23.8545082    |76.1448397         0.000643322572|23.8489298    |76.1504269    |100           
   74432.8125     0.000650590998|23.8474131    |76.1519363         0.000641871018|23.8418352    |76.1575229    |100           
    74446.875     0.0006491247  |23.8403201    |76.1590308         0.00064042274 |23.8347428    |76.1646168    |100           
   74460.9375     0.000647661706|23.8332292    |76.1661231         0.000638977729|23.8276525    |76.1717085    |100           
      74475.0     0.000646202009|23.8261404    |76.1732134         0.000637535979|23.8205643    |76.1787982    |100           
   74489.0625     0.000644745602|23.8190537    |76.1803016         0.000636097482|23.8134782    |76.1858857    |100           
    74503.125     0.000643292478|23.8119691    |76.1873876         0.000634662231|23.8063942    |76.1929712    |100           
   74517.1875     0.000641842629|23.8048866    |76.1944715         0.000633230218|23.7993123    |76.2000545    |100           
     74531.25     0.000640396047|23.7978062    |76.2015534         0.000631801437|23.7922325    |76.2071357    |100           
   74545.3125     0.000638952726|23.7907279    |76.2086331         0.000630375879|23.7851548    |76.2142149    |100           
    74559.375     0.000637512657|23.7836518    |76.2157107         0.000628953537|23.7780792    |76.2212919    |100           
   74573.4375     0.000636075835|23.7765777    |76.2227862         0.000627534405|23.7710057    |76.2283668    |100           
      74587.5     0.00063464225 |23.7695057    |76.2298596         0.000626118475|23.7639343    |76.2354396    |100           
   74601.5625     0.000633211897|23.7624358    |76.236931          0.00062470574 |23.756865     |76.2425103    |100           
    74615.625     0.000631784767|23.7553681    |76.2440002         0.000623296193|23.7497978    |76.2495789    |100           
   74629.6875     0.000630360854|23.7483024    |76.2510673         0.000621889825|23.7427327    |76.2566454    |100           
     74643.75     0.00062894015 |23.7412388    |76.2581323         0.000620486631|23.7356697    |76.2637098    |100           
   74657.8125     0.000627522648|23.7341773    |76.2651952         0.000619086604|23.7286088    |76.2707721    |100           
    74671.875     0.00062610834 |23.7271179    |76.272256          0.000617689735|23.7215501    |76.2778323    |100           
   74685.9375     0.000624697221|23.7200607    |76.2793146         0.000616296017|23.7144934    |76.2848903    |100           
      74700.0     0.000623289281|23.7130055    |76.2863712         0.000614905445|23.7074388    |76.2919463    |100           
   74714.0625     0.000621884515|23.7059524    |76.2934257         0.00061351801 |23.7003863    |76.2990002    |100           
    74728.125     0.000620482915|23.6989014    |76.3004781         0.000612133706|23.6933358    |76.306052     |100           
   74742.1875     0.000619084474|23.6918525    |76.3075284         0.000610752525|23.6862875    |76.3131017    |100           
     74756.25     0.000617689184|23.6848057    |76.3145766         0.000609374461|23.6792413    |76.3201493    |100           
   74770.3125     0.00061629704 |23.6777609    |76.3216228         0.000607999506|23.6721972    |76.3271948    |100           
    74784.375     0.000614908032|23.6707183    |76.3286668         0.000606627653|23.6651552    |76.3342382    |100           
   74798.4375     0.000613522156|23.6636778    |76.3357087         0.000605258896|23.6581152    |76.3412795    |100           
      74812.5     0.000612139403|23.6566393    |76.3427485         0.000603893227|23.6510774    |76.3483187    |100           
   74826.5625     0.000610759766|23.649603     |76.3497862         0.000602530639|23.6440416    |76.3553559    |100           
    74840.625     0.000609383239|23.6425687    |76.3568219         0.000601171126|23.6370079    |76.3623909    |100           
   74854.6875     0.000608009814|23.6355366    |76.3638554         0.000599814681|23.6299764    |76.3694238    |100           
     74868.75     0.000606639485|23.6285065    |76.3708869         0.000598461296|23.6229469    |76.3764547    |100           
   74882.8125     0.000605272244|23.6214785    |76.3779162         0.000597110964|23.6159195    |76.3834834    |100           
    74896.875     0.000603908084|23.6144526    |76.3849435         0.00059576368 |23.6088942    |76.3905101    |100           
   74910.9375     0.000602546999|23.6074288    |76.3919687         0.000594419435|23.6018709    |76.3975347    |100           
      74925.0     0.000601188982|23.600407     |76.3989918         0.000593078224|23.5948498    |76.4045571    |100           
   74939.0625     0.000599834025|23.5933874    |76.4060128         0.000591740039|23.5878307    |76.4115775    |100           
    74953.125     0.000598482123|23.5863698    |76.4130317         0.000590404873|23.5808138    |76.4185958    |100           
   74967.1875     0.000597133267|23.5793544    |76.4200485         0.00058907272 |23.5737989    |76.425612     |100           
     74981.25     0.000595787451|23.572341     |76.4270632         0.000587743572|23.5667861    |76.4326262    |100           
   74995.3125     0.000594444668|23.5653297    |76.4340759         0.000586417424|23.5597754    |76.4396382    |100           
    75009.375     0.000593104912|23.5583204    |76.4410865         0.000585094268|23.5527667    |76.4466482    |100           
   75023.4375     0.000591768175|23.5513133    |76.4480949         0.000583774097|23.5457602    |76.453656     |100           
      75037.5     0.000590434451|23.5443082    |76.4551013         0.000582456905|23.5387557    |76.4606618    |100           
   75051.5625     0.000589103733|23.5373053    |76.4621056         0.000581142685|23.5317533    |76.4676655    |100           
    75065.625     0.000587776014|23.5303043    |76.4691079         0.00057983143 |23.524753     |76.4746671    |100           
   75079.6875     0.000586451287|23.5233055    |76.476108          0.000578523134|23.5177548    |76.4816667    |100           
     75093.75     0.000585129546|23.5163088    |76.4831061         0.00057721779 |23.5107587    |76.4886641    |100           
   75107.8125     0.000583810784|23.5093141    |76.4901021         0.000575915392|23.5037646    |76.4956595    |100           
    75121.875     0.000582494995|23.5023215    |76.497096          0.000574615932|23.4967726    |76.5026528    |100           
   75135.9375     0.00058118217 |23.495331     |76.5040878         0.000573319404|23.4897827    |76.509644     |100           
      75150.0     0.000579872305|23.4883426    |76.5110775         0.000572025801|23.4827948    |76.5166331    |100           
   75164.0625     0.000578565392|23.4813562    |76.5180652         0.000570735117|23.4758091    |76.5236202    |100           
    75178.125     0.000577261424|23.474372     |76.5250508         0.000569447346|23.4688254    |76.5306051    |100           
   75192.1875     0.000575960395|23.4673898    |76.5320343         0.00056816248 |23.4618438    |76.537588     |100           
     75206.25     0.000574662299|23.4604096    |76.5390157         0.000566880513|23.4548643    |76.5445689    |100           
   75220.3125     0.000573367128|23.4534316    |76.5459951         0.000565601438|23.4478868    |76.5515476    |100           
    75234.375     0.000572074876|23.4464556    |76.5529723         0.00056432525 |23.4409114    |76.5585243    |100           
   75248.4375     0.000570785536|23.4394817    |76.5599475         0.000563051941|23.4339381    |76.5654989    |100           
      75262.5     0.000569499103|23.4325098    |76.5669207         0.000561781506|23.4269669    |76.5724714    |100           
   75276.5625     0.000568215569|23.4255401    |76.5738917         0.000560513936|23.4199977    |76.5794418    |100           
    75290.625     0.000566934927|23.4185724    |76.5808607         0.000559249227|23.4130306    |76.5864102    |100           
   75304.6875     0.000565657172|23.4116067    |76.5878276         0.000557987372|23.4060655    |76.5933765    |100           
