Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 14.0625 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.5362038412914 at t = 14526.5625 s

    Time                           Analytical                                             Numerical                         
     (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    2545.3125     66.4714759    |32.5820465    |0.946477593        66.4408107    |32.6164951    |0.94269426    |100           
     2559.375     66.3216628    |32.7221443    |0.956192879        66.2908977    |32.7567034    |0.952398943   |100           
    2573.4375     66.1721874    |32.8618628    |0.965949792        66.141323     |32.8965317    |0.962145345   |100           
       2587.5     66.0230488    |33.0012029    |0.975748222        65.9920858    |33.0359809    |0.971933351   |100           
    2601.5625     65.8742464    |33.1401655    |0.985588054        65.8431853    |33.1750519    |0.981762848   |100           
     2615.625     65.7257794    |33.2787514    |0.995469177        65.6946208    |33.3137455    |0.991633724   |100           
    2629.6875     65.577647     |33.4169615    |1.00539148         65.5463915    |33.4520626    |1.00154587    |100           
      2643.75     65.4298484    |33.5547967    |1.01535485         65.3984966    |33.5900042    |1.01149917    |100           
    2657.8125     65.282383     |33.6922579    |1.02535917         65.2509355    |33.727571     |1.02149351    |100           
     2671.875     65.1352499    |33.8293458    |1.03540434         65.1037073    |33.8647639    |1.03152878    |100           
    2685.9375     64.9884484    |33.9660614    |1.04549024         64.9568113    |34.0015838    |1.04160487    |100           
       2700.0     64.8419777    |34.1024055    |1.05561677         64.8102467    |34.1380316    |1.05172167    |100           
    2714.0625     64.6958372    |34.238379     |1.06578381         64.6640129    |34.274108     |1.06187907    |100           
     2728.125     64.5500261    |34.3739827    |1.07599125         64.518109     |34.409814     |1.07207696    |100           
    2742.1875     64.4045436    |34.5092175    |1.08623898         64.3725343    |34.5451505    |1.08231523    |100           
      2756.25     64.2593889    |34.6440842    |1.0965269          64.2272881    |34.6801182    |1.09259376    |100           
    2770.3125     64.1145614    |34.7785837    |1.10685489         64.0823696    |34.814718     |1.10291246    |100           
     2784.375     63.9700604    |34.9127168    |1.11722284         63.9377781    |34.9489507    |1.1132712     |100           
    2798.4375     63.825885     |35.0464844    |1.12763065         63.7935128    |35.0828173    |1.12366988    |100           
       2812.5     63.6820345    |35.1798873    |1.13807821         63.649573     |35.2163186    |1.13410839    |100           
    2826.5625     63.5385083    |35.3129263    |1.1485654          63.505958     |35.3494553    |1.14458662    |100           
     2840.625     63.3953055    |35.4456023    |1.15909213         63.3626671    |35.4822284    |1.15510447    |100           
    2854.6875     63.2524255    |35.5779162    |1.16965827         63.2196995    |35.6146387    |1.16566182    |100           
      2868.75     63.1098675    |35.7098687    |1.18026374         63.0770544    |35.746687     |1.17625857    |100           
    2882.8125     62.9676308    |35.8414608    |1.19090841         62.9347313    |35.8783741    |1.18689461    |100           
     2896.875     62.8257147    |35.9726931    |1.20159218         62.7927292    |36.009701     |1.19756983    |100           
    2910.9375     62.6841184    |36.1035666    |1.21231494         62.6510476    |36.1406683    |1.20828412    |100           
       2925.0     62.5428413    |36.2340821    |1.22307659         62.5096856    |36.271277     |1.21903739    |100           
    2939.0625     62.4018826    |36.3642404    |1.23387702         62.3686426    |36.4015279    |1.22982951    |100           
     2953.125     62.2612415    |36.4940424    |1.24471612         62.2279178    |36.5314218    |1.24066039    |100           
    2967.1875     62.1209174    |36.6234888    |1.2555938          62.0875106    |36.6609595    |1.25152992    |100           
      2981.25     61.9809096    |36.7525804    |1.26650993         61.9474201    |36.7901419    |1.26243799    |100           
    2995.3125     61.8412174    |36.8813182    |1.27746442         61.8076458    |36.9189697    |1.2733845     |100           
     3009.375     61.70184      |37.0097029    |1.28845717         61.6681868    |37.0474439    |1.28436934    |100           
    3023.4375     61.5627767    |37.1377353    |1.29948806         61.5290425    |37.1755651    |1.2953924     |100           
       3037.5     61.4240268    |37.2654162    |1.31055699         61.3902122    |37.3033343    |1.30645359    |100           
    3051.5625     61.2855896    |37.3927465    |1.32166386         61.2516951    |37.4307522    |1.31755279    |100           
     3065.625     61.1474645    |37.5197269    |1.33280857         61.1134905    |37.5578196    |1.3286899     |100           
    3079.6875     61.0096507    |37.6463583    |1.343991           60.9755978    |37.6845374    |1.33986482    |100           
      3093.75     60.8721474    |37.7726415    |1.35521106         60.8380162    |37.8109064    |1.35107745    |100           
    3107.8125     60.7349541    |37.8985773    |1.36646865         60.700745     |37.9369273    |1.36232767    |100           
     3121.875     60.59807      |38.0241664    |1.37776365         60.5637836    |38.062601     |1.37361539    |100           
    3135.9375     60.4614943    |38.1494097    |1.38909597         60.4271312    |38.1879283    |1.38494051    |100           
       3150.0     60.3252265    |38.274308     |1.4004655          60.2907872    |38.3129099    |1.39630291    |100           
    3164.0625     60.1892659    |38.398862     |1.41187214         60.1547507    |38.4375468    |1.4077025     |100           
     3178.125     60.0536116    |38.5230726    |1.42331579         60.0190213    |38.5618396    |1.41913917    |100           
    3192.1875     59.9182631    |38.6469406    |1.43479635         59.883598     |38.6857891    |1.43061283    |100           
      3206.25     59.7832196    |38.7704667    |1.44631372         59.7484804    |38.8093963    |1.44212337    |100           
    3220.3125     59.6484805    |38.8936517    |1.45786778         59.6136676    |38.9326618    |1.45367068    |100           
     3234.375     59.5140451    |39.0164965    |1.46945845         59.479159     |39.0555864    |1.46525467    |100           
    3248.4375     59.3799126    |39.1390018    |1.48108562         59.3449538    |39.1781709    |1.47687524    |100           
       3262.5     59.2460825    |39.2611684    |1.49274919         59.2110515    |39.3004162    |1.48853228    |100           
    3276.5625     59.1125539    |39.382997     |1.50444905         59.0774514    |39.4223229    |1.50022569    |100           
