Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 28.125 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.56178515255509 at t = 14512.5 s

    Time                          Analytical                                             Numerical                         
    (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
      6525.0     35.1009829    |59.9031345    |4.99588263         35.0179136    |59.9946988    |4.98738764    |100           
    6553.125     34.9429403    |60.0254935    |5.03156613         34.8598891    |60.1170218    |5.02308918    |100           
     6581.25     34.7856094    |60.1470684    |5.06732221         34.7025777    |60.2385588    |5.05886351    |100           
    6609.375     34.6289868    |60.2678628    |5.10315041         34.5459761    |60.3593137    |5.09471017    |100           
      6637.5     34.4730695    |60.3878803    |5.13905025         34.3900813    |60.47929      |5.13062869    |100           
    6665.625     34.3178541    |60.5071246    |5.17502128         34.23489      |60.5984914    |5.1666186     |100           
     6693.75     34.1633376    |60.6255993    |5.21106305         34.080399     |60.7169216    |5.20267945    |100           
    6721.875     34.0095169    |60.743308     |5.24717509         33.9266051    |60.8345841    |5.23881077    |100           
      6750.0     33.8563887    |60.8602544    |5.28335694         33.7735053    |60.9514826    |5.27501211    |100           
    6778.125     33.7039499    |60.9764419    |5.31960817         33.6210964    |61.0676206    |5.31128301    |100           
     6806.25     33.5521976    |61.0918741    |5.35592831         33.4693753    |61.1830017    |5.34762302    |100           
    6834.375     33.4011285    |61.2065546    |5.39231691         33.3183388    |61.2976295    |5.3840317     |100           
      6862.5     33.2507395    |61.3204869    |5.42877354         33.1679839    |61.4115075    |5.42050859    |100           
    6890.625     33.1010277    |61.4336745    |5.46529774         33.0183075    |61.5246393    |5.45705324    |100           
     6918.75     32.95199      |61.5461209    |5.50188908         32.8693065    |61.6370282    |5.49366522    |100           
    6946.875     32.8036234    |61.6578295    |5.53854712         32.720978     |61.748678     |5.53034407    |100           
      6975.0     32.6559247    |61.7688039    |5.57527141         32.5733188    |61.8595919    |5.56708937    |100           
    7003.125     32.5088911    |61.8790474    |5.61206152         32.4263259    |61.9697734    |5.60390067    |100           
     7031.25     32.3625195    |61.9885635    |5.64891702         32.2799964    |62.0792261    |5.64077754    |100           
    7059.375     32.2168069    |62.0973556    |5.68583747         32.1343272    |62.1879533    |5.67771954    |100           
      7087.5     32.0717504    |62.2054271    |5.72282245         31.9893153    |62.2959584    |5.71472624    |100           
    7115.625     31.927347     |62.3127815    |5.75987153         31.8449579    |62.4032449    |5.75179721    |100           
     7143.75     31.7835938    |62.4194219    |5.79698427         31.7012519    |62.5098161    |5.78893202    |100           
    7171.875     31.6404879    |62.5253519    |5.83416027         31.5581944    |62.6156754    |5.82613026    |100           
      7200.0     31.4980262    |62.6305747    |5.87139909         31.4157824    |62.7208261    |5.86339149    |100           
    7228.125     31.3562061    |62.7350936    |5.90870032         31.2740132    |62.8252716    |5.90071529    |100           
     7256.25     31.2150244    |62.838912     |5.94606354         31.1328836    |62.9290151    |5.93810124    |100           
    7284.375     31.0744785    |62.9420332    |5.98348833         30.992391     |63.0320601    |5.97554893    |100           
      7312.5     30.9345653    |63.0444604    |6.02097427         30.8525323    |63.1344097    |6.01305794    |100           
    7340.625     30.7952821    |63.1461969    |6.05852097         30.7133048    |63.2360673    |6.05062786    |100           
     7368.75     30.656626     |63.247246     |6.096128           30.5747056    |63.3370361    |6.08825827    |100           
    7396.875     30.5185943    |63.3476108    |6.13379496         30.4367318    |63.4373194    |6.12594876    |100           
      7425.0     30.381184     |63.4472946    |6.17152144         30.2993807    |63.5369204    |6.16369893    |100           
    7453.125     30.2443924    |63.5463006    |6.20930703         30.1626494    |63.6358422    |6.20150838    |100           
